Target Distance: 100, Step Size: 4
124: (x, y) = (26.2873, -6.04835)
125: (x, y) = (22.2897, -6.18794)
126: (x, y) = (23.592, -9.97002)
127: (x, y) = (26.5174, -7.24202)
128: (x, y) = (23.592, -9.97002)
129: (x, y) = (24.2177, -13.9208)
130: (x, y) = (28.0814, -14.956)
131: (x, y) = (32.0808, -15.0259)
132: (x, y) = (35.8396, -16.3939)
133: (x, y) = (35.6302, -12.3994)
134: (x, y) = (32.566, -14.9706)
135: (x, y) = (34.193, -18.6248)
136: (x, y) = (30.7289, -16.6248)
137: (x, y) = (26.8024, -17.388)
138: (x, y) = (29.775, -20.0645)
139: (x, y) = (29.1492, -24.0153)
140: (x, y) = (28.5925, -20.0542)
141: (x, y) = (25.4405, -22.5168)
142: (x, y) = (21.9764, -24.5168)
143: (x, y) = (18.0256, -23.8911)
144: (x, y) = (14.7095, -21.6543)
145: (x, y) = (13.4734, -25.4586)
146: (x, y) = (9.69134, -26.7608)
147: (x, y) = (6.62716, -29.332)
148: (x, y) = (8.92147, -32.6086)
149: (x, y) = (5.60532, -34.8454)
150: (x, y) = (1.60776, -34.7058)
151: (x, y) = (4.67193, -32.1346)
152: (x, y) = (2.55226, -28.7424)
153: (x, y) = (6.52244, -29.2299)
154: (x, y) = (10.5127, -28.9509)
155: (x, y) = (14.4392, -28.1876)
156: (x, y) = (15.9376, -31.8964)
157: (x, y) = (12.2835, -33.5233)
158: (x, y) = (12.2136, -37.5227)
159: (x, y) = (9.43501, -34.6453)
160: (x, y) = (8.94753, -30.6752)
161: (x, y) = (12.4793, -32.553)
162: (x, y) = (14.7161, -29.2369)
163: (x, y) = (16.8358, -32.6291)
164: (x, y) = (12.8413, -32.8384)
165: (x, y) = (10.0626, -29.9611)
166: (x, y) = (6.78601, -27.6668)
167: (x, y) = (10.3178, -29.5447)
168: (x, y) = (7.74665, -32.6088)
169: (x, y) = (11.746, -32.539)
170: (x, y) = (7.88234, -31.5037)
171: (x, y) = (8.36981, -35.4739)
172: (x, y) = (7.60658, -39.4004)
173: (x, y) = (7.18846, -35.4224)
174: (x, y) = (10.297, -37.9396)
175: (x, y) = (11.86, -34.2576)
176: (x, y) = (15.7726, -33.426)
177: (x, y) = (19.6537, -32.4583)
178: (x, y) = (20.2104, -36.4194)
179: (x, y) = (16.3852, -35.2499)
180: (x, y) = (20.2827, -34.3501)
181: (x, y) = (23.0613, -37.2274)
182: (x, y) = (22.2981, -41.1539)
183: (x, y) = (19.8355, -38.0019)
184: (x, y) = (23.7329, -38.9017)
185: (x, y) = (27.6722, -39.5963)
186: (x, y) = (30.5006, -42.4247)
187: (x, y) = (28.5006, -45.8888)
188: (x, y) = (31.9293, -43.8287)
189: (x, y) = (33.8071, -47.3604)
190: (x, y) = (35.6231, -50.9245)
191: (x, y) = (39.6176, -51.1338)
192: (x, y) = (36.509, -48.6165)
193: (x, y) = (39.6611, -46.1539)
194: (x, y) = (42.7697, -48.6712)
195: (x, y) = (46.5949, -49.8407)
196: (x, y) = (42.6168, -49.4225)
197: (x, y) = (39.085, -51.3004)
198: (x, y) = (41.7092, -48.2816)
199: (x, y) = (40.8094, -52.1791)
200: (x, y) = (38.6309, -48.8244)
201: (x, y) = (36.8149, -52.3884)
202: (x, y) = (33.5789, -54.7396)
203: (x, y) = (31.6396, -58.238)
204: (x, y) = (31.4303, -62.2326)
205: (x, y) = (28.6018, -65.061)
206: (x, y) = (27.9761, -69.0117)
207: (x, y) = (23.9767, -68.9419)
208: (x, y) = (25.3448, -65.1832)
209: (x, y) = (22.9375, -68.3777)
210: (x, y) = (22.7282, -72.3722)
211: (x, y) = (19.8508, -69.5936)
212: (x, y) = (22.422, -66.5294)
213: (x, y) = (25.2993, -63.7508)
214: (x, y) = (29.2896, -63.4717)
215: (x, y) = (28.1201, -59.6465)
216: (x, y) = (29.7471, -63.3007)
217: (x, y) = (30.0957, -59.3159)
218: (x, y) = (33.8545, -60.684)
219: (x, y) = (31.6177, -64.0002)
220: (x, y) = (29.2665, -60.7641)
221: (x, y) = (33.2665, -60.7641)
222: (x, y) = (31.2064, -64.1928)
223: (x, y) = (34.315, -66.71)
224: (x, y) = (36.8861, -69.7742)
225: (x, y) = (33.7775, -67.2569)
226: (x, y) = (34.8128, -71.1206)
227: (x, y) = (35.3695, -67.1596)
228: (x, y) = (39.3671, -67.02)
229: (x, y) = (41.8297, -63.8679)
230: (x, y) = (40.0762, -67.4631)
231: (x, y) = (37.452, -64.4443)
232: (x, y) = (34.4794, -67.1208)
233: (x, y) = (38.477, -66.9812)
234: (x, y) = (34.913, -68.7972)
235: (x, y) = (31.1786, -67.3637)
236: (x, y) = (35.0039, -66.1942)
237: (x, y) = (33.7016, -62.4121)
238: (x, y) = (37.3268, -64.1026)
239: (x, y) = (36.0245, -67.8847)
240: (x, y) = (38.2031, -71.2394)
241: (x, y) = (37.9937, -67.2448)
242: (x, y) = (41.6758, -65.6819)
243: (x, y) = (40.6405, -61.8182)
244: (x, y) = (43.317, -58.8456)
245: (x, y) = (46.5531, -56.4945)
246: (x, y) = (50.0849, -58.3724)
247: (x, y) = (53.7101, -60.0628)
248: (x, y) = (50.9821, -62.9883)
249: (x, y) = (47.4836, -61.049)
250: (x, y) = (51.2424, -62.4171)
251: (x, y) = (47.4603, -63.7194)
252: (x, y) = (45.4002, -67.148)
253: (x, y) = (42.7759, -70.1669)
254: (x, y) = (40.4248, -66.9308)
255: (x, y) = (37.9622, -70.0829)
256: (x, y) = (39.9014, -73.5813)
257: (x, y) = (42.1957, -70.3047)
258: (x, y) = (38.2449, -69.679)
259: (x, y) = (34.8903, -71.8575)
260: (x, y) = (38.6246, -73.291)
261: (x, y) = (39.2503, -69.3403)
262: (x, y) = (37.5598, -65.715)
263: (x, y) = (36.8653, -69.6543)
264: (x, y) = (36.8653, -73.6543)
265: (x, y) = (39.5932, -76.5797)
266: (x, y) = (36.4847, -79.097)
267: (x, y) = (37.6542, -75.2717)
268: (x, y) = (41.0828, -73.2116)
269: (x, y) = (42.1181, -77.0753)
270: (x, y) = (42.6056, -81.0455)
271: (x, y) = (39.5414, -83.6166)
272: (x, y) = (39.0539, -79.6464)
273: (x, y) = (42.1625, -82.1637)
274: (x, y) = (40.5996, -78.4817)
275: (x, y) = (41.8356, -74.6775)
276: (x, y) = (41.279, -78.6386)
277: (x, y) = (38.7617, -75.53)
278: (x, y) = (34.898, -76.5652)
279: (x, y) = (38.4931, -78.3187)
280: (x, y) = (38.0057, -74.3485)
281: (x, y) = (34.6135, -76.4682)
282: (x, y) = (31.2588, -78.6468)
283: (x, y) = (35.063, -77.4107)
284: (x, y) = (35.9628, -81.3082)
285: (x, y) = (38.534, -78.244)
286: (x, y) = (35.7553, -75.3667)
287: (x, y) = (32.7365, -72.7424)
288: (x, y) = (30.0085, -75.6678)
289: (x, y) = (33.1171, -73.1505)
290: (x, y) = (29.1177, -73.0807)
291: (x, y) = (32.1365, -70.4565)
292: (x, y) = (35.2451, -72.9738)
293: (x, y) = (36.9986, -76.569)
294: (x, y) = (39.0588, -79.9976)
295: (x, y) = (40.6857, -76.3434)
296: (x, y) = (40.4764, -72.3489)
297: (x, y) = (36.5062, -71.8615)
298: (x, y) = (38.9134, -75.056)
299: (x, y) = (41.2646, -71.8199)
300: (x, y) = (45.2494, -72.1685)
301: (x, y) = (41.7176, -70.2907)
302: (x, y) = (45.5428, -69.1212)
303: (x, y) = (43.306, -72.4373)
304: (x, y) = (46.4581, -74.9)
305: (x, y) = (50.4556, -75.0396)
306: (x, y) = (54.4064, -74.4138)
307: (x, y) = (55.3741, -70.5326)
308: (x, y) = (51.9454, -68.4725)
309: (x, y) = (50.2549, -64.8473)
310: (x, y) = (47.6838, -61.7831)
311: (x, y) = (43.975, -60.2847)
312: (x, y) = (47.1271, -62.7473)
313: (x, y) = (50.9092, -61.445)
314: (x, y) = (46.9699, -62.1396)
315: (x, y) = (49.3772, -65.3342)
316: (x, y) = (50.0029, -61.3834)
317: (x, y) = (50.0029, -65.3834)
318: (x, y) = (50.6975, -69.3226)
319: (x, y) = (52.6368, -72.8211)
320: (x, y) = (54.3272, -76.4464)
321: (x, y) = (52.1487, -73.0917)
322: (x, y) = (49.4207, -70.1663)
323: (x, y) = (53.3599, -70.8609)
324: (x, y) = (55.3599, -67.3968)
325: (x, y) = (55.4995, -71.3943)
326: (x, y) = (51.5019, -71.2547)
327: (x, y) = (51.5718, -75.2541)
328: (x, y) = (54.6803, -77.7714)
329: (x, y) = (53.1174, -74.0894)
330: (x, y) = (49.2199, -73.1896)
331: (x, y) = (45.9038, -75.4263)
332: (x, y) = (42.9312, -78.1029)
333: (x, y) = (40.1028, -75.2744)
334: (x, y) = (44.0293, -74.5112)
335: (x, y) = (47.3059, -76.8055)
336: (x, y) = (44.2871, -74.1813)
337: (x, y) = (43.6613, -70.2305)
338: (x, y) = (43.8009, -74.2281)
339: (x, y) = (39.8015, -74.2979)
340: (x, y) = (37.9236, -70.7661)
341: (x, y) = (38.8913, -66.8849)
342: (x, y) = (36.4287, -63.7329)
343: (x, y) = (35.3934, -59.8692)
344: (x, y) = (37.856, -63.0212)
345: (x, y) = (34.011, -64.1238)
346: (x, y) = (30.5125, -62.1845)
347: (x, y) = (32.4518, -65.683)
348: (x, y) = (32.9392, -61.7128)
349: (x, y) = (29.4751, -63.7128)
350: (x, y) = (33.2572, -62.4105)
351: (x, y) = (31.8891, -58.6518)
352: (x, y) = (33.7051, -55.0877)
353: (x, y) = (33.5655, -51.0902)
354: (x, y) = (30.7869, -53.9675)
355: (x, y) = (28.0589, -51.0421)
356: (x, y) = (28.4075, -55.0269)
357: (x, y) = (27.5758, -58.9395)
358: (x, y) = (31.5704, -58.7302)
359: (x, y) = (35.3746, -57.4941)
360: (x, y) = (32.266, -60.0114)
361: (x, y) = (31.0965, -56.1861)
362: (x, y) = (27.5647, -58.064)
363: (x, y) = (30.9569, -60.1837)
364: (x, y) = (27.0443, -61.0154)
365: (x, y) = (24.2657, -63.8927)
366: (x, y) = (21.7484, -60.7841)
367: (x, y) = (25.3124, -62.6001)
368: (x, y) = (23.0757, -65.9162)
369: (x, y) = (25.37, -69.1929)
370: (x, y) = (29.3645, -69.4022)
371: (x, y) = (26.3457, -66.778)
372: (x, y) = (23.567, -63.9006)
373: (x, y) = (25.2575, -60.2754)
374: (x, y) = (29.252, -60.4847)
375: (x, y) = (31.8232, -63.5489)
376: (x, y) = (30.3247, -67.2576)
377: (x, y) = (33.3436, -64.6334)
378: (x, y) = (35.6379, -67.91)
379: (x, y) = (39.1364, -69.8492)
380: (x, y) = (37.5734, -73.5313)
381: (x, y) = (33.7482, -74.7007)
382: (x, y) = (37.1769, -72.6406)
383: (x, y) = (37.1769, -76.6406)
384: (x, y) = (35.3609, -80.2046)
385: (x, y) = (32.5325, -83.033)
386: (x, y) = (32.1839, -87.0178)
387: (x, y) = (29.5073, -89.9904)
388: (x, y) = (25.7486, -88.6223)
389: (x, y) = (26.5802, -84.7097)
390: (x, y) = (23.0162, -86.5257)
391: (x, y) = (23.5037, -82.5555)
392: (x, y) = (20.075, -84.6157)
393: (x, y) = (16.9664, -87.1329)
394: (x, y) = (16.8268, -83.1354)
395: (x, y) = (13.5107, -85.3722)
396: (x, y) = (17.4614, -84.7464)
397: (x, y) = (21.1156, -83.1195)
398: (x, y) = (20.3524, -79.193)
399: (x, y) = (24.1566, -80.429)
400: (x, y) = (25.1919, -84.2927)
401: (x, y) = (28.3005, -81.7754)
402: (x, y) = (30.977, -78.8029)
403: (x, y) = (31.3256, -74.8181)
404: (x, y) = (34.0021, -71.8455)
405: (x, y) = (36.8306, -69.0171)
406: (x, y) = (38.521, -65.3919)
407: (x, y) = (40.4603, -61.8934)
408: (x, y) = (41.2919, -57.9808)
409: (x, y) = (43.5287, -54.6646)
410: (x, y) = (40.9044, -51.6458)
411: (x, y) = (43.083, -48.2911)
412: (x, y) = (41.7149, -44.5323)
413: (x, y) = (37.9562, -43.1643)
414: (x, y) = (35.6618, -39.8877)
415: (x, y) = (33.3107, -43.1237)
416: (x, y) = (29.6287, -44.6866)
417: (x, y) = (25.7475, -45.6543)
418: (x, y) = (28.7201, -42.9778)
419: (x, y) = (29.1382, -38.9997)
420: (x, y) = (27.199, -42.4982)
421: (x, y) = (24.471, -45.4236)
422: (x, y) = (26.0979, -49.0778)
423: (x, y) = (29.4141, -46.841)
424: (x, y) = (30.0398, -42.8903)
425: (x, y) = (32.3909, -46.1263)
426: (x, y) = (29.0748, -48.3631)
427: (x, y) = (29.838, -44.4366)
428: (x, y) = (32.0166, -41.0819)
429: (x, y) = (28.7004, -38.8452)
430: (x, y) = (25.5059, -36.4379)
431: (x, y) = (27.1328, -40.0921)
432: (x, y) = (30.3274, -37.6848)
433: (x, y) = (32.8985, -40.749)
434: (x, y) = (30.9593, -44.2475)
435: (x, y) = (27.0085, -44.8732)
436: (x, y) = (30.507, -46.8124)
437: (x, y) = (33.0782, -49.8766)
438: (x, y) = (31.2622, -46.3126)
439: (x, y) = (31.8189, -50.2737)
440: (x, y) = (28.3548, -48.2737)
441: (x, y) = (25.4294, -45.5457)
442: (x, y) = (21.8041, -47.2361)
443: (x, y) = (19.233, -50.3003)
444: (x, y) = (15.4742, -48.9322)
445: (x, y) = (18.6688, -51.3395)
446: (x, y) = (16.9153, -54.9347)
447: (x, y) = (19.9341, -52.3104)
448: (x, y) = (19.6551, -48.3202)
449: (x, y) = (15.7286, -47.557)
450: (x, y) = (16.5602, -43.6444)
451: (x, y) = (14.9333, -47.2985)
452: (x, y) = (12.0079, -50.0265)
453: (x, y) = (14.579, -46.9624)
454: (x, y) = (17.2555, -49.9349)
455: (x, y) = (21.1367, -48.9673)
456: (x, y) = (23.9652, -46.1388)
457: (x, y) = (27.3574, -48.2585)
458: (x, y) = (23.9287, -50.3187)
459: (x, y) = (20.3035, -48.6282)
460: (x, y) = (17.7862, -51.7368)
461: (x, y) = (20.0805, -48.4602)
462: (x, y) = (22.5978, -51.5687)
463: (x, y) = (25.6166, -54.193)
464: (x, y) = (27.9677, -50.9569)
465: (x, y) = (28.7994, -47.0443)
466: (x, y) = (32.6631, -48.0796)
467: (x, y) = (34.6023, -51.5781)
468: (x, y) = (35.7049, -55.4231)
469: (x, y) = (39.6951, -55.7021)
470: (x, y) = (39.277, -51.7241)
471: (x, y) = (41.5713, -55.0007)
472: (x, y) = (37.6448, -55.7639)
473: (x, y) = (40.9214, -58.0582)
474: (x, y) = (44.5756, -59.6852)
475: (x, y) = (41.467, -62.2024)
476: (x, y) = (42.9005, -58.4681)
477: (x, y) = (40.6062, -55.1915)
478: (x, y) = (36.7611, -54.089)
479: (x, y) = (39.2784, -57.1975)
480: (x, y) = (35.5964, -55.6346)
481: (x, y) = (37.1593, -51.9526)
482: (x, y) = (34.4828, -48.98)
483: (x, y) = (30.724, -50.3481)
484: (x, y) = (32.351, -46.6939)
485: (x, y) = (34.2289, -50.2257)
486: (x, y) = (32.351, -46.6939)
487: (x, y) = (36.3504, -46.6241)
488: (x, y) = (39.5024, -44.1615)
489: (x, y) = (43.415, -43.3298)
490: (x, y) = (43.7636, -39.345)
491: (x, y) = (47.7029, -38.6504)
492: (x, y) = (50.9389, -41.0016)
493: (x, y) = (49.9712, -44.8828)
494: (x, y) = (51.1407, -41.0575)
495: (x, y) = (52.8942, -37.4624)
496: (x, y) = (51.7917, -41.3074)
497: (x, y) = (49.2205, -44.3716)
498: (x, y) = (46.3921, -41.5432)
499: (x, y) = (47.4274, -45.4069)
500: (x, y) = (43.4493, -45.825)
501: (x, y) = (47.4103, -45.2683)
502: (x, y) = (45.2318, -41.9136)
503: (x, y) = (47.1097, -38.3818)
504: (x, y) = (51.0945, -38.7304)
505: (x, y) = (54.0199, -36.0025)
506: (x, y) = (57.7542, -37.4359)
507: (x, y) = (54.9258, -34.6075)
508: (x, y) = (52.6315, -31.3309)
509: (x, y) = (55.4101, -28.4535)
510: (x, y) = (51.432, -28.0354)
511: (x, y) = (53.3712, -24.5369)
512: (x, y) = (57.0254, -26.1639)
513: (x, y) = (58.9647, -29.6624)
514: (x, y) = (62.4964, -31.5402)
515: (x, y) = (59.8199, -34.5128)
516: (x, y) = (63.7901, -35.0003)
517: (x, y) = (60.3979, -37.12)
518: (x, y) = (59.4981, -33.2225)
519: (x, y) = (56.0694, -35.2827)
520: (x, y) = (55.8601, -31.2881)
521: (x, y) = (58.0387, -34.6428)
522: (x, y) = (54.0685, -35.1303)
523: (x, y) = (56.9939, -37.8583)
524: (x, y) = (59.2307, -34.5421)
525: (x, y) = (57.9946, -30.7379)
526: (x, y) = (54.1134, -31.7056)
527: (x, y) = (53.6259, -27.7354)
528: (x, y) = (53.6259, -31.7354)
529: (x, y) = (57.2512, -33.4259)
530: (x, y) = (57.1116, -29.4283)
531: (x, y) = (58.0793, -25.5471)
532: (x, y) = (54.2972, -26.8494)
533: (x, y) = (54.2972, -22.8494)
534: (x, y) = (52.0029, -19.5728)
535: (x, y) = (55.5014, -17.6336)
536: (x, y) = (51.7426, -16.2655)
537: (x, y) = (52.7779, -20.1292)
538: (x, y) = (56.659, -19.1615)
539: (x, y) = (54.5989, -15.7328)
540: (x, y) = (50.7014, -14.833)
541: (x, y) = (47.4653, -12.4819)
542: (x, y) = (51.3104, -11.3793)
543: (x, y) = (54.7391, -13.4395)
544: (x, y) = (57.3633, -16.4583)
545: (x, y) = (59.9875, -19.4772)
546: (x, y) = (60.1969, -15.4826)
547: (x, y) = (58.2576, -18.9811)
548: (x, y) = (55.9065, -15.7451)
549: (x, y) = (58.2008, -12.4685)
550: (x, y) = (59.1685, -8.58727)
551: (x, y) = (62.6326, -10.5873)
552: (x, y) = (64.5718, -14.0857)
553: (x, y) = (64.6416, -10.0864)
554: (x, y) = (61.9136, -7.16094)
555: (x, y) = (65.0657, -9.62359)
556: (x, y) = (64.4399, -5.67284)
557: (x, y) = (68.3525, -4.84119)
558: (x, y) = (65.8353, -1.7326)
559: (x, y) = (63.2641, 1.33157)
560: (x, y) = (59.4004, 2.36685)
561: (x, y) = (59.54, 6.36441)
562: (x, y) = (62.1112, 3.30024)
563: (x, y) = (65.5033, 1.18056)
564: (x, y) = (68.6979, 3.58782)
565: (x, y) = (70.9922, 0.31121)
566: (x, y) = (67.053, -0.383383)
567: (x, y) = (63.7368, -2.62015)
568: (x, y) = (65.4273, -6.24539)
569: (x, y) = (69.0815, -4.61844)
570: (x, y) = (66.7303, -7.85451)
571: (x, y) = (70.7151, -8.20313)
572: (x, y) = (71.7504, -12.0668)
573: (x, y) = (74.4269, -9.09425)
574: (x, y) = (77.9909, -10.9102)
575: (x, y) = (74.4924, -12.8495)
576: (x, y) = (70.6113, -13.8171)
577: (x, y) = (73.3393, -10.8917)
578: (x, y) = (69.4942, -11.9943)
579: (x, y) = (65.7121, -13.2965)
580: (x, y) = (63.3049, -10.102)
581: (x, y) = (66.5409, -7.75087)
582: (x, y) = (68.5409, -4.28676)
583: (x, y) = (69.1667, -8.23752)
584: (x, y) = (67.8644, -4.45544)
585: (x, y) = (64.1056, -5.82352)
586: (x, y) = (61.8689, -9.13967)
587: (x, y) = (63.9885, -5.74748)
588: (x, y) = (66.5058, -8.85607)
589: (x, y) = (67.7419, -12.6603)
590: (x, y) = (65.1177, -15.6791)
591: (x, y) = (66.1529, -11.8154)
592: (x, y) = (65.3897, -7.88892)
593: (x, y) = (68.9849, -6.13543)
594: (x, y) = (64.9946, -6.41446)
595: (x, y) = (66.8106, -9.97849)
596: (x, y) = (70.3424, -8.1006)
597: (x, y) = (71.3776, -11.9643)
598: (x, y) = (68.8065, -15.0285)
599: (x, y) = (69.976, -11.2033)
600: (x, y) = (72.2703, -7.92665)
601: (x, y) = (69.4917, -5.04929)
602: (x, y) = (71.8428, -1.81323)
603: (x, y) = (75.6016, -3.18131)
604: (x, y) = (74.8383, 0.745202)
605: (x, y) = (76.5288, 4.37043)
606: (x, y) = (74.9019, 8.02461)
607: (x, y) = (74.6925, 12.0191)
608: (x, y) = (70.7799, 12.8508)
609: (x, y) = (71.7476, 8.9696)
610: (x, y) = (74.2649, 12.0782)
611: (x, y) = (72.4489, 15.6422)
612: (x, y) = (72.9364, 11.672)
613: (x, y) = (75.2875, 8.43595)
614: (x, y) = (71.5055, 7.13368)
615: (x, y) = (67.5079, 7.27328)
616: (x, y) = (64.0438, 9.27328)
617: (x, y) = (61.2154, 12.1017)
618: (x, y) = (60.3156, 15.9992)
619: (x, y) = (61.3509, 12.1355)
620: (x, y) = (61.6995, 16.1203)
621: (x, y) = (59.2922, 19.3148)
622: (x, y) = (62.2648, 16.6383)
623: (x, y) = (63.7632, 20.347)
624: (x, y) = (65.2616, 16.6383)
625: (x, y) = (65.6798, 20.6164)
626: (x, y) = (62.1813, 22.5556)
627: (x, y) = (66.1424, 23.1123)
628: (x, y) = (69.419, 25.4066)
629: (x, y) = (73.38, 24.8499)
630: (x, y) = (76.3526, 22.1734)
631: (x, y) = (80.0346, 23.7363)
632: (x, y) = (81.4027, 19.9775)
633: (x, y) = (77.4082, 19.7682)
634: (x, y) = (80.8723, 17.7682)
635: (x, y) = (83.7497, 14.9896)
636: (x, y) = (81.2324, 11.881)
637: (x, y) = (81.8581, 15.8317)
638: (x, y) = (85.2868, 13.7716)
639: (x, y) = (82.2679, 11.1473)
640: (x, y) = (78.9518, 13.3841)
641: (x, y) = (76.6007, 16.6202)
642: (x, y) = (77.5683, 20.5014)
643: (x, y) = (81.4658, 21.4012)
644: (x, y) = (84.858, 23.5209)
645: (x, y) = (83.4899, 19.7621)
646: (x, y) = (80.7619, 22.6875)
647: (x, y) = (84.7522, 22.9665)
648: (x, y) = (88.4865, 24.4)
649: (x, y) = (86.733, 20.8048)
650: (x, y) = (90.1617, 22.865)
651: (x, y) = (94.0743, 23.6966)
652: (x, y) = (90.1132, 24.2533)
653: (x, y) = (87.9935, 27.6455)
654: (x, y) = (91.9061, 26.8139)
655: (x, y) = (91.1429, 30.7404)
656: (x, y) = (95.0555, 29.9087)
657: (x, y) = (98.8807, 28.7392)
After 657 steps, the subject has the following location:
(x, y) = (98.8807, 28.7392)
or
(m, a) = (102.973, 16.2063)
Average outward distance per step: 0.156731
